WK,Game Date,Opp,Result,G,GS,Comp,Att,Pct,Yds,Avg,TD,Int,Sck,SckY,Rate,Att,Yds,Avg,TD,FUM,Lost
1,09/10,NYJ,L   17-48,1,1,27,46,58.7,286,6.2,1,4,0,0,47.9,1,6,6,0,0,0
2,09/16,@ SF,L   27-30,1,1,34,53,64.2,347,6.5,3,0,2,18,101.7,1,8,8,0,1,1
3,09/23,NE,W   26-10,1,1,27,36,75,262,7.3,2,1,1,7,101.9,1,10,10,0,0,0
4,09/30,@ DAL,L   24-26,1,1,24,30,80,307,10.2,2,0,3,21,131.5,2,5,2.5,0,0,0
5,10/07,GB,W   31-23,1,1,14,26,53.8,183,7,2,0,3,13,101.9,1,-1,-1,0,0,0
7,10/21,@ MIA,W   32-21,1,1,18,22,81.8,217,9.9,2,0,1,8,138.1,4,9,2.3,0,0,0
8,10/28,SEA,L   14-28,1,1,27,40,67.5,310,7.8,2,1,3,13,96.9,1,6,6,0,1,1
9,11/04,@ MIN,L   9-24,1,1,25,36,69.4,199,5.5,0,0,10,56,83,5,6,1.2,0,1,1
10,11/11,@ CHI,L   22-34,1,1,25,42,59.5,274,6.5,2,2,6,45,74.9,2,9,4.5,0,1,0
11,11/18,CAR,W   20-19,1,1,23,37,62.2,220,5.9,1,0,1,5,87.7,3,6,2,0,0,0
12,11/22,CHI,L   16-23,1,1,28,38,73.7,236,6.2,0,2,2,14,67.4,0,0,0,0,0,0
13,12/02,LA,L   16-30,1,1,20,33,60.6,245,7.4,1,1,4,37,81,1,2,2,0,1,1
14,12/09,@ ARI,W   17-3,1,1,15,23,65.2,101,4.4,0,0,1,5,74.7,1,7,7,0,0,0
15,12/16,@ BUF,L   13-14,1,1,22,29,75.9,208,7.2,1,0,0,0,106.7,0,0,0,0,0,0
16,12/23,MIN,L   9-27,1,1,18,32,56.3,116,3.6,0,0,2,11,64.1,0,0,0,0,0,0
17,12/30,@ GB,W   31-0,1,1,20,32,62.5,266,8.3,2,0,1,2,109.6,2,-2,-1,0,0,0
