WK,Game Date,Opp,Result,G,GS,Comp,Att,Pct,Yds,Avg,TD,Int,Sck,SckY,Rate,Att,Yds,Avg,TD,FUM,Lost
1,09/11,@TB,W   27-20,1,1,24,33,72.7,305,9.2,3,1,0,0,118.9,1,0,0,0,1,0
2,09/18,KC,W   48-3,1,1,23,39,59,294,7.5,4,1,0,0,106.1,1,1,1,0,0,0
3,09/25,@MIN,W   26-23,1,1,32,46,69.6,378,8.2,2,0,5,40,108.8,1,-1,-1,0,1,0
4,10/02,@DAL,W   34-30,1,1,21,43,48.8,240,5.6,2,1,0,0,71.9,1,-1,-1,0,0,0
5,10/10,CHI,W   24-13,1,1,19,26,73.1,219,8.4,2,1,1,5,107.7,1,1,1,0,0,0
6,10/16,SF,L   19-25,1,1,28,50,56,293,5.9,2,0,5,49,86.5,1,9,9,0,1,0
7,10/23,ATL,L   16-23,1,1,15,32,46.9,183,5.7,1,0,3,24,75.4,0,0,0,0,0,0
8,10/30,@DEN,W   45-10,1,1,21,30,70,267,8.9,3,0,2,9,130.8,1,21,21,0,0,0
10,11/13,@CHI,L   13-37,1,1,33,63,52.4,329,5.2,1,4,2,16,46.3,2,1,0.5,0,0,0
11,11/20,CAR,W   49-35,1,1,28,36,77.8,335,9.3,5,2,2,9,121.9,4,2,0.5,0,0,0
12,11/24,GB,L   15-27,1,1,32,45,71.1,276,6.1,1,3,1,3,66.5,4,31,7.8,0,1,0
13,12/04,@NO,L   17-31,1,1,31,44,70.5,408,9.3,1,1,3,29,97.5,0,0,0,0,0,0
14,12/11,MIN,W   34-28,1,1,20,29,69,227,7.8,2,0,5,19,115.2,2,4,2,0,0,0
15,12/18,@OAK,W   28-27,1,1,29,52,55.8,391,7.5,4,0,2,16,105.5,1,5,5,0,1,1
16,12/24,SD,W   38-10,1,1,29,36,80.6,373,10.4,3,0,3,20,137.6,2,5,2.5,0,0,0
17,01/01,@GB,L   41-45,1,1,36,59,61,520,8.8,5,2,2,18,103.8,0,0,0,0,0,0
