WK,Game Date,Opp,Result,G,GS,Comp,Att,Pct,Yds,Avg,TD,Int,Sck,SckY,Rate,Att,Yds,Avg,TD,FUM,Lost
1,09/08,NYG,W   35-14,1,1,22,32,68.8,346,10.8,2,0,1,5,125.3,4,2,0.5,1,0,0
2,09/14,@CAR,L   7-24,1,1,27,48,56.3,291,6.1,1,1,4,38,72.5,1,8,8,0,0,0
3,09/21,GB,W   19-7,1,1,22,34,64.7,246,7.2,0,2,2,8,61.6,6,8,1.3,0,1,1
4,09/28,@NYJ,W   24-17,1,1,24,34,70.6,293,8.6,2,0,4,21,116.4,6,8,1.3,1,0,0
5,10/05,BUF,L   14-17,1,1,18,31,58.1,231,7.5,1,1,6,27,78.8,3,8,2.7,0,2,0
6,10/12,@MIN,W   17-3,1,1,19,33,57.6,185,5.6,1,0,4,30,83.5,1,1,1,0,0,0
7,10/19,NO,W   24-23,1,1,27,40,67.5,299,7.5,2,2,3,14,85.3,2,1,0.5,0,0,0
8,10/26,@ATL,W   22-21,1,1,24,47,51.1,325,6.9,2,1,0,0,78.8,3,9,3,0,1,0
10,11/09,MIA,W   20-16,1,1,25,40,62.5,280,7,2,1,3,19,89.6,2,-1,-0.5,0,0,0
11,11/16,@ARI,L   6-14,1,1,18,30,60,183,6.1,0,1,4,19,63.6,0,0,0,0,1,0
12,11/23,@NE,L   9-34,1,1,18,46,39.1,264,5.7,0,1,2,20,49.5,3,18,6,0,0,0
13,11/27,CHI,W   34-17,1,1,34,45,75.6,390,8.7,2,0,2,7,116,0,0,0,0,1,1
14,12/07,TB,W   34-17,1,1,26,34,76.5,311,9.1,3,0,4,17,133.3,3,-2,-0.7,0,1,0
15,12/14,MIN,W   16-14,1,1,17,28,60.7,153,5.5,1,0,0,0,87.4,1,2,2,0,0,0
16,12/21,@CHI,W   20-14,1,1,22,39,56.4,243,6.2,0,2,4,14,53.7,4,2,0.5,0,0,0
17,12/28,@GB,L   20-30,1,1,20,41,48.8,217,5.3,3,0,2,15,89.2,4,29,7.3,0,1,1
