WK,Game Date,Opp,Result,G,GS,Comp,Att,Pct,Yds,Avg,TD,Int,Sck,SckY,Rate,Att,Yds,Avg,TD,FUM,Lost
1,09/13,@SD,L   28-33,1,1,19,30,63.3,246,8.2,2,2,1,13,83.5,1,-1,-1,0,0,0
2,09/20,@MIN,L   16-26,1,1,32,53,60.4,286,5.4,2,1,1,1,79.6,4,20,5,0,0,0
3,09/27,DEN,L   12-24,1,1,31,45,68.9,282,6.3,1,2,4,20,74.5,1,-1,-1,0,1,1
4,10/05,@SEA,L   10-13,1,1,24,35,68.6,203,5.8,0,0,0,0,83.4,0,0,0,0,0,0
5,10/11,ARI,L   17-42,1,1,20,32,62.5,188,5.9,1,3,1,0,50,1,2,2,0,0,0
6,10/18,CHI,W   37-34,1,1,27,42,64.3,405,9.6,4,1,2,14,117.7,6,37,6.2,0,0,0
7,10/25,MIN,L   19-28,1,1,18,26,69.2,256,9.8,2,0,7,59,126.4,1,5,5,0,0,0
8,11/01,@KC,L   10-45,1,1,22,36,61.1,217,6,1,2,6,32,64.2,1,5,5,0,0,0
10,11/15,@GB,W   18-16,1,1,24,38,63.2,242,6.4,2,1,0,0,87.8,2,1,0.5,0,1,0
11,11/22,OAK,W   18-13,1,1,22,35,62.9,282,8.1,0,0,4,16,88,6,31,5.2,1,0,0
12,11/26,PHI,W   45-14,1,1,27,38,71.1,337,8.9,5,0,2,15,137.8,2,13,6.5,0,0,0
13,12/03,GB,L   23-27,1,1,23,35,65.7,220,6.3,2,0,3,15,102.1,2,22,11,0,1,1
14,12/13,@STL,L   14-21,1,1,30,46,65.2,245,5.3,2,1,4,25,84.1,2,5,2.5,0,1,0
15,12/21,@NO,W   35-27,1,1,22,25,88,254,10.2,3,0,3,8,148.6,4,-1,-0.3,0,0,0
16,12/27,SF,W   32-17,1,1,29,37,78.4,301,8.1,2,0,2,17,118.6,5,11,2.2,0,0,0
17,01/03,@CHI,W   24-20,1,1,28,39,71.8,298,7.6,3,0,4,16,119.4,6,10,1.7,0,0,0
