WK,Game Date,Opp,Result,G,GS,Comp,Att,Pct,Yds,Avg,TD,Int,Sck,SckY,Rate,Att,Yds,Avg,TD,FUM,Lost
1,09/10,ARI,W   35-23,1,1,29,41,70.7,292,7.1,4,1,1,7,113.1,2,14,7,0,0,0
2,09/18,@NYG,W   24-10,1,1,15,21,71.4,122,5.8,2,0,3,3,117.6,3,23,7.7,0,1,1
3,09/24,ATL,L   26-30,1,1,25,45,55.6,264,5.9,1,0,2,11,80.2,2,19,9.5,0,0,0
4,10/01,@MIN,W   14-7,1,1,19,31,61.3,209,6.7,0,0,6,55,81.2,3,-3,-1,0,1,0
5,10/08,CAR,L   24-27,1,1,23,35,65.7,229,6.5,2,0,6,37,103.2,0,0,0,0,2,1
6,10/15,@NO,L   38-52,1,1,25,52,48.1,312,6,3,3,5,31,62.3,2,4,2,0,2,2
8,10/29,PIT,L   15-20,1,1,27,45,60,423,9.4,0,0,2,12,91.2,1,11,11,0,0,0
9,11/06,@GB,W   30-17,1,1,26,33,78.8,361,10.9,2,0,1,8,132.4,1,0,0,0,0,0
10,11/12,CLE,W   38-24,1,1,17,26,65.4,249,9.6,3,1,4,8,118.9,4,17,4.3,0,0,0
11,11/19,@CHI,W   27-24,1,1,21,31,67.7,299,9.6,2,0,3,12,120.2,3,3,1,0,1,1
12,11/23,MIN,L   23-30,1,1,20,35,57.1,250,7.1,2,1,3,14,86.6,1,0,0,0,2,1
13,12/03,@BAL,L   20-44,1,1,24,29,82.8,292,10.1,1,1,3,22,105.7,3,2,0.7,0,2,1
14,12/10,@TB,W   24-21,1,1,36,44,81.8,381,8.7,1,2,0,0,91.4,0,0,0,0,0,0
15,12/16,CHI,W   20-10,1,1,25,33,75.8,237,7.2,2,0,4,35,115.3,1,-1,-1,0,0,0
16,12/24,@CIN,L   17-26,1,1,19,35,54.3,203,5.8,1,1,2,14,69.1,1,7,7,0,0,0
17,12/31,GB,W   35-11,1,1,20,29,69,323,11.1,3,0,2,18,140.4,2,2,1,0,0,0
