WK,Game Date,Opp,Result,G,GS,Comp,Att,Pct,Yds,Avg,TD,Int,Sck,SckY,Rate,Att,Yds,Avg,TD,FUM,Lost
1,09/09,STL,W   27-23,1,1,32,48,66.7,355,7.4,1,3,1,9,69.4,0,0,0,0,0,0
2,09/16,@SF,L   19-27,1,1,19,32,59.4,230,7.2,1,1,2,16,78.9,2,10,5,0,0,0
3,09/23,@TEN,L   41-44,1,1,33,42,78.6,278,6.6,1,0,1,8,102.2,2,12,6,0,0,0
4,09/30,MIN,L   13-20,1,1,30,51,58.8,319,6.3,0,0,5,33,77.2,4,14,3.5,1,0,0
6,10/14,@PHI,W   26-23,1,1,22,45,48.9,311,6.9,1,1,0,0,69.8,3,7,2.3,1,0,0
7,10/22,@CHI,L   7-13,1,1,28,46,60.9,263,5.7,1,1,3,20,74.8,3,21,7,0,0,0
8,10/28,SEA,W   28-24,1,1,34,49,69.4,352,7.2,3,1,2,21,101.7,4,12,3,1,0,0
9,11/04,@JAC,W   31-14,1,1,22,33,66.7,285,8.6,0,0,1,0,93.6,2,-2,-1,0,0,0
10,11/11,@MIN,L   24-34,1,1,28,42,66.7,329,7.8,3,1,2,21,104.2,3,13,4.3,0,1,0
11,11/18,GB,L   20-24,1,1,17,39,43.6,266,6.8,1,2,5,14,54,2,12,6,0,1,1
12,11/22,HOU,L   31-34,1,1,31,61,50.8,441,7.2,2,0,3,22,85.5,2,7,3.5,0,0,0
13,12/02,IND,L   33-35,1,1,27,46,58.7,313,6.8,2,1,0,0,84.8,1,0,0,0,1,0
14,12/09,@GB,L   20-27,1,1,27,45,60,264,5.9,1,1,1,13,74.7,3,9,3,1,1,1
15,12/16,@ARI,L   10-38,1,1,24,50,48,246,4.9,0,3,2,18,37.6,0,0,0,0,0,0
16,12/22,ATL,L   18-31,1,1,37,56,66.1,443,7.9,0,1,0,0,82.7,1,2,2,0,0,0
17,12/30,CHI,L   24-26,1,1,24,42,57.1,272,6.5,3,1,1,17,90.6,3,9,3,0,2,2
